ProsperRating..Alpha.	year	ProsperScore	mean_apr	mean_yield	mean_amount	mean_return	n
A	2009	8	0.1343	0.0815428571428571	9278.08333333333	0.0815	84
A	2009	9	0.1325	0.0785457671957672	4433.01322751323	0.0785	378
A	2009	10	0.1347	0.076868085106383	1851.04255319149	0.0769	47
A	2010	8	0.1222	0.0708542056074766	8040.19626168224	0.0696	107
A	2010	9	0.1215	0.0661866242038217	5837.56815286624	0.065	785
A	2010	10	0.1214	0.0645340909090909	2206.81818181818	0.0631	44
A	2011	7	0.1319	0.102195454545455	9768.68181818182	0.0694	44
A	2011	8	0.1394	0.106007635829662	9748.38766519824	0.0786	681
A	2011	9	0.1385	0.10362	9119.05390070922	0.0702	705
A	2011	10	0.1478	0.11404025974026	8381.76623376623	0.0812	77
A	2012	5	0.1672	0.12657	9945	0.0869	10
A	2012	6	0.1685	0.129071621621622	10569.3108108108	0.0904	74
A	2012	7	0.1559	0.117291555555556	10302.2711111111	0.0847	225
A	2012	8	0.1415	0.103948150943396	11473.1524528302	0.0768	1325
A	2012	9	0.1438	0.106385516506922	11254.9286474973	0.0771	939
A	2012	10	0.137	0.0969108808290155	9758.49222797928	0.0684	193
A	2013	1	0.1384	0.09628	12000	0.0639	1
A	2013	2	0.1453	0.10314	14500	0.0697	5
A	2013	4	0.147	0.104785026737968	9969.10695187166	0.0697	187
A	2013	5	0.1481	0.106353850415512	11397.3684210526	0.0705	361
A	2013	6	0.1453	0.104146878547106	11742.9012485812	0.0696	881
A	2013	7	0.1438	0.102797160392799	11615.9116202946	0.0689	1222
A	2013	8	0.141	0.100766056241427	13389.2297668038	0.0682	1458
A	2013	9	0.1385	0.0988020874751491	13289.0725646123	0.0671	1006
A	2013	10	0.1354	0.0963809103078983	14856.2222222222	0.0659	747
A	2014	1	0.1404	0.09796	15000	0.0631	1
A	2014	2	0.1471	0.10446	4000	0.0671	1
A	2014	4	0.1422	0.0999316326530612	8935.69387755102	0.0648	98
A	2014	5	0.1424	0.100107046413502	10476.3966244726	0.0648	237
A	2014	6	0.1368	0.0951328375286041	11291.3363844394	0.0627	437
A	2014	7	0.1327	0.0916722719141324	12568.5438282648	0.061	559
A	2014	8	0.1351	0.0944185825242718	13328.0932038835	0.0622	515
A	2014	9	0.1342	0.0936232684824903	13452.8871595331	0.0619	257
A	2014	10	0.1305	0.0908483916083916	14910.034965035	0.0606	286
AA	2009	6	0.121	0.087416	15177	0.0874	25
AA	2009	7	0.1167	0.0862	14574	0.0862	27
AA	2009	8	0.1107	0.0777837209302326	11151.1627906977	0.0778	43
AA	2009	9	0.1046	0.0714875	6862.8125	0.0715	64
AA	2009	10	0.084	0.0575428571428571	2354.14285714286	0.0575	161
AA	2010	6	0.1232	0.0938307692307692	12052.3076923077	0.0938	13
AA	2010	7	0.1154	0.08685	11438.8888888889	0.0868	18
AA	2010	8	0.0976	0.0691376811594203	10865.2173913043	0.0691	69
AA	2010	9	0.0899	0.0614194690265487	7315.88495575221	0.0614	113
AA	2010	10	0.0788	0.0558023923444976	5780.31578947368	0.055	418
AA	2011	9	0.0966	0.0835724137931034	12559.5689655172	0.0664	58
AA	2011	10	0.0817	0.0675892712550607	10125.8805668016	0.0526	494
AA	2012	8	0.1139	0.0857389534883721	15043.7093023256	0.0684	172
AA	2012	9	0.1098	0.0824345890410959	13141.1095890411	0.0654	292
AA	2012	10	0.089	0.0677078651685393	12663.7993579454	0.0571	623
AA	2013	4	0.0949	0.069788	17000	0.0509	5
AA	2013	5	0.095	0.069785	17500	0.0511	2
AA	2013	6	0.094	0.0690502702702703	11089.4054054054	0.0514	37
AA	2013	7	0.0936	0.0678425	11985.8055555556	0.0506	72
AA	2013	8	0.0937	0.0686994090909091	12064.1409090909	0.0511	220
AA	2013	9	0.0936	0.0684917320261438	12609.2189542484	0.051	306
AA	2013	10	0.0906	0.0649163301500682	12744.3983628922	0.0497	733
